twa/tws,4,6,8,10,12,14,16,20
0,0,0,0,0,0,0,0,0
30,3.2,4.0,4.5,4.8,5.1,5.3,5.4,5.5
40,3.9,4.8,5.5,6.0,6.2,6.4,6.5,6.6
45,4.2,5.2,5.9,6.3,6.6,6.8,6.9,7.0
52,4.4,5.5,6.2,6.7,7.0,7.2,7.3,7.4
60,4.6,5.7,6.4,6.9,7.3,7.5,7.6,7.7
70,4.7,5.8,6.5,7.1,7.5,7.7,7.8,7.9
80,4.7,5.8,6.6,7.2,7.6,7.8,7.9,8.0
90,4.6,5.7,6.5,7.2,7.6,7.9,8.1,8.5
100,4.4,5.5,6.3,7.0,7.5,7.9,8.3,8.8
110,4.2,5.2,6.1,6.8,7.4,7.8,8.2,9.0
120,3.9,4.9,5.8,6.6,7.2,7.7,8.1,9.1
130,3.6,4.6,5.5,6.3,6.9,7.5,7.9,9.0
140,3.3,4.3,5.2,6.0,6.6,7.2,7.6,8.7
150,3.0,4.0,4.8,5.6,6.2,6.8,7.3,8.3
160,2.8,3.7,4.5,5.2,5.8,6.3,6.9,7.9
170,2.7,3.5,4.3,4.9,5.4,6.0,6.5,7.5
180,2.6,3.4,4.2,4.8,5.3,5.8,6.3,7.3
