twa/tws,4,6,8,10,12,14,16,20
0,0,0,0,0,0,0,0,0
30,2.6,3.3,3.8,4.2,4.5,4.7,4.9,5.1
40,3.2,4.0,4.7,5.3,5.5,5.7,5.9,6.1
45,3.5,4.5,5.1,5.6,5.9,6.1,6.3,6.5
52,3.7,4.7,5.4,5.9,6.2,6.5,6.7,6.9
60,3.9,5.0,5.7,6.2,6.5,6.8,7.0,7.2
70,4.0,5.1,5.8,6.4,6.8,7.0,7.2,7.4
80,4.0,5.1,5.9,6.5,6.9,7.2,7.4,7.6
90,3.9,5.0,5.8,6.5,7.0,7.3,7.6,7.9
100,3.7,4.8,5.6,6.3,6.8,7.2,7.5,8.0
110,3.5,4.5,5.4,6.1,6.7,7.1,7.4,8.1
120,3.2,4.2,5.1,5.9,6.5,7.0,7.3,8.2
130,2.9,3.9,4.7,5.5,6.1,6.7,7.1,8.1
140,2.6,3.6,4.4,5.2,5.8,6.4,6.8,7.9
150,2.3,3.2,4.0,4.8,5.4,6.0,6.5,7.6
160,2.1,3.0,3.7,4.5,5.1,5.6,6.1,7.2
170,2.0,2.8,3.5,4.2,4.8,5.3,5.8,6.9
180,1.9,2.7,3.4,4.0,4.6,5.1,5.6,6.6
